site,pass,pass.int,location,site.index,propPO,habitat,date2,species,SVLmean,tail,mass,tail_loss,bcres,loc.int,site.int
C,5,4,even,11,0.285,CO,5_3,RB,37.4,32.9,1.13,Y,0.164463429,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.3,35,1.25,Y,0.123923207,3,3
C,5,4,even,11,0.285,CO,5_3,RB,43.9,35.4,1.32,Y,0.099708087,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.7,36.1,1.01,Y,-0.143875878,3,3
C,5,4,even,11,0.285,CO,5_3,RB,34.3,36.2,1.02,Y,0.118408057,3,3
C,5,4,even,11,0.285,CO,5_3,RB,37,36.9,1.04,Y,0.036922873,3,3
C,5,4,even,11,0.285,CO,5_3,RB,43,37.3,1.07,Y,-0.143795133,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.1,37.5,1.34,Y,0.188747082,3,3
C,5,4,even,11,0.285,CO,5_3,RB,42.8,38.3,1.32,Y,0.100246284,3,3
C,5,4,even,11,0.285,CO,5_3,RB,39.7,38.6,0.99,Y,-0.127374005,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.9,39.7,1.23,Y,-0.113913308,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.9,40.9,1.25,Y,-0.109287342,3,3
C,5,4,even,11,0.285,CO,5_3,RB,49.5,41.4,1.46,Y,-0.029049186,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.7,42.7,1.18,Y,-0.058433062,3,3
C,5,4,even,11,0.285,CO,5_3,RB,42.8,43.2,1.25,Y,-0.03253102,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.5,45.7,1.06,Y,-0.347077253,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.2,45.9,1.15,Y,-0.249359926,3,3
C,5,4,even,11,0.285,CO,5_3,RB,43.3,49.2,1.31,Y,-0.066533964,3,3
C,5,4,rare,12,0.8,CO,5_4,RB,45.8,31.6,1.37,Y,0.133287973,4,3
C,5,4,rare,12,0.8,CO,5_4,RB,41.2,39.9,1.05,Y,-0.13542754,4,3
B,6,5,all,5,0,CO,6_2,RB,38.9,33.9,1.11,N,0.098845198,1,2
B,6,5,all,5,0,CO,6_2,RB,37.2,34.9,1.1,N,0.134284946,1,2
B,6,5,all,5,0,CO,6_2,RB,38.5,39.3,1.05,N,-0.016631731,1,2
B,6,5,all,5,0,CO,6_2,RB,37.6,43.4,1.12,N,0.031679321,1,2
B,6,5,all,5,0,CO,6_2,RB,36.9,27.7,0.94,Y,0.058217018,1,2
B,6,5,dominant,6,0.1,CO,6_1,RB,40.5,35.9,0.94,N,-0.151603079,2,2
B,6,5,dominant,6,0.1,CO,6_1,RB,35.5,36.9,0.85,N,-0.083087,2,2
B,6,5,dominant,6,0.1,CO,6_1,RB,38.4,38.7,0.95,N,-0.105518158,2,2
B,6,5,dominant,6,0.1,CO,6_1,RB,42.4,38.9,1.25,N,0.054857284,2,2
B,6,5,dominant,6,0.1,CO,6_1,RB,42.3,40.8,1.36,N,0.14394162,2,2
B,6,5,dominant,6,0.1,CO,6_1,RB,45.3,44.8,1.36,N,-0.010101822,2,2
B,6,5,dominant,6,0.1,CO,6_1,RB,32.2,17.7,0.4,Y,-0.19261793,2,2
B,6,5,even,7,0.4,CO,6_3,RB,39.5,29.7,0.87,N,-0.107905018,3,2
B,6,5,even,7,0.4,CO,6_3,RB,41,42.9,1.05,N,-0.148417717,3,2
B,6,5,even,7,0.4,CO,6_3,RB,42,45.6,1.19,N,-0.077274847,3,2
B,6,5,even,7,0.4,CO,6_3,RB,37.5,23.9,0.82,Y,-0.033657876,3,2
B,6,5,even,7,0.4,CO,6_3,RB,46.5,33,1.25,Y,-0.028634288,3,2
B,6,5,rare,8,0.98,CO,6_5,RB,49.4,42.8,1.48,Y,-0.023559002,4,2
A,7,6,all,1,0,CO,7_2,RB,43.9,26.7,1.29,N,0.199761625,1,1
A,7,6,all,1,0,CO,7_2,RB,46.4,33.8,1.46,N,0.193134707,1,1
A,7,6,all,1,0,CO,7_2,RB,40.8,36.5,1.31,N,0.200430238,1,1
A,7,6,all,1,0,CO,7_2,RB,44.7,37.5,1.35,N,0.093982881,1,1
A,7,6,all,1,0,CO,7_2,RB,42.5,38,1.11,N,-0.077038746,1,1
A,7,6,all,1,0,CO,7_2,RB,42.7,38.7,1.54,N,0.337139957,1,1
A,7,6,all,1,0,CO,7_2,RB,42,41.3,1.26,N,0.047815439,1,1
A,7,6,all,1,0,CO,7_2,RB,37.9,42.1,1.12,N,0.038054858,1,1
A,7,6,all,1,0,CO,7_2,RB,42.1,43.3,1.35,N,0.108765495,1,1
A,7,6,all,1,0,CO,7_2,RB,40.3,44.4,1.25,N,0.056350629,1,1
A,7,6,all,1,0,CO,7_2,RB,41.3,45.4,1.26,N,0.01927338,1,1
A,7,6,all,1,0,CO,7_2,RB,46,45.9,1.74,N,0.331819426,1,1
A,7,6,all,1,0,CO,7_2,RB,43.6,46.4,1.17,N,-0.16234909,1,1
A,7,6,all,1,0,CO,7_2,RB,43.6,46.7,1.62,N,0.283807401,1,1
A,7,6,all,1,0,CO,7_2,RB,44.9,48.4,1.63,N,0.2274823,1,1
